FunctionalGroup1,FunctionalGroup2,Chainlength1,Chainlength2,Temperature,Compositioncomponent1,Excessenthalpy
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.0548,2.4
Alkene,Alkane,2,2,273.15,0.1054,6.2
Alkene,Alkane,2,2,273.15,0.1525,11.1
Alkene,Alkane,2,2,273.15,0.1962,15.9
Alkene,Alkane,2,2,273.15,0.237,20
Alkene,Alkane,2,2,273.15,0.2752,25.3
Alkene,Alkane,2,2,273.15,0.311,27.5
Alkene,Alkane,2,2,273.15,0.3446,31.9
Alkene,Alkane,2,2,273.15,0.406,36.6
Alkene,Alkane,2,2,273.15,0.4895,39.6
Alkene,Alkane,2,2,273.15,0.5325,40.8
Alkene,Alkane,2,2,273.15,0.5747,42.4
Alkene,Alkane,2,2,273.15,0.613,42.6
Alkene,Alkane,2,2,273.15,0.6479,42.9
Alkene,Alkane,2,2,273.15,0.695,40.6
Alkene,Alkane,2,2,273.15,0.7233,37.3
Alkene,Alkane,2,2,273.15,0.8068,27.8
Alkene,Alkane,2,2,273.15,0.8551,23.2
Alkene,Alkane,2,2,273.15,0.8963,15.3
Alkene,Alkane,2,2,273.15,0.9384,9.1
Alkene,Alkane,2,2,273.15,0.9795,1.2
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.0195,7.4
Alkene,Alkane,2,2,273.15,0.058,20.3
Alkene,Alkane,2,2,273.15,0.0963,32.8
Alkene,Alkane,2,2,273.15,0.134,41.6
Alkene,Alkane,2,2,273.15,0.1713,51.3
Alkene,Alkane,2,2,273.15,0.2083,60.7
Alkene,Alkane,2,2,273.15,0.2448,66.9
Alkene,Alkane,2,2,273.15,0.2809,73.8
Alkene,Alkane,2,2,273.15,0.3343,81.3
Alkene,Alkane,2,2,273.15,0.3694,83.8
Alkene,Alkane,2,2,273.15,0.4042,86.3
Alkene,Alkane,2,2,273.15,0.4386,87.6
Alkene,Alkane,2,2,273.15,0.4894,88.7
Alkene,Alkane,2,2,273.15,0.5229,88.5
Alkene,Alkane,2,2,273.15,0.5725,85.7
Alkene,Alkane,2,2,273.15,0.6052,84.3
Alkene,Alkane,2,2,273.15,0.6634,78.7
Alkene,Alkane,2,2,273.15,0.6851,74
Alkene,Alkane,2,2,273.15,0.7322,66.2
Alkene,Alkane,2,2,273.15,0.7644,60.9
Alkene,Alkane,2,2,273.15,0.809,54.5
Alkene,Alkane,2,2,273.15,0.8542,40.5
Alkene,Alkane,2,2,273.15,0.8839,34.4
Alkene,Alkane,2,2,273.15,0.928,21.8
Alkene,Alkane,2,2,273.15,0.9716,4.2
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.0176,6.7
Alkene,Alkane,2,2,273.15,0.0526,21.6
Alkene,Alkane,2,2,273.15,0.0876,34.6
Alkene,Alkane,2,2,273.15,0.1397,50.1
Alkene,Alkane,2,2,273.15,0.1743,61.8
Alkene,Alkane,2,2,273.15,0.2088,69.9
Alkene,Alkane,2,2,273.15,0.2432,78
Alkene,Alkane,2,2,273.15,0.2945,87.5
Alkene,Alkane,2,2,273.15,0.3285,94.1
Alkene,Alkane,2,2,273.15,0.3793,99.5
Alkene,Alkane,2,2,273.15,0.4131,103
Alkene,Alkane,2,2,273.15,0.4467,104
Alkene,Alkane,2,2,273.15,0.4969,105.4
Alkene,Alkane,2,2,273.15,0.5302,103.5
Alkene,Alkane,2,2,273.15,0.5799,102.8
Alkene,Alkane,2,2,273.15,0.6129,98.4
Alkene,Alkane,2,2,273.15,0.6458,95.1
Alkene,Alkane,2,2,273.15,0.6949,87.7
Alkene,Alkane,2,2,273.15,0.7275,81
Alkene,Alkane,2,2,273.15,0.7762,70.1
Alkene,Alkane,2,2,273.15,0.8085,62
Alkene,Alkane,2,2,273.15,0.8568,48.3
Alkene,Alkane,2,2,273.15,0.8888,37.4
Alkene,Alkane,2,2,273.15,0.9366,18.2
Alkene,Alkane,2,2,273.15,0.9684,7.4
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.017,5.1
Alkene,Alkane,2,2,273.15,0.0508,18.3
Alkene,Alkane,2,2,273.15,0.0847,33
Alkene,Alkane,2,2,273.15,0.1353,50.3
Alkene,Alkane,2,2,273.15,0.1691,61
Alkene,Alkane,2,2,273.15,0.2196,74.1
Alkene,Alkane,2,2,273.15,0.2532,82.9
Alkene,Alkane,2,2,273.15,0.2868,89.6
Alkene,Alkane,2,2,273.15,0.3372,97.9
Alkene,Alkane,2,2,273.15,0.3707,104.3
Alkene,Alkane,2,2,273.15,0.4041,106.5
Alkene,Alkane,2,2,273.15,0.4546,109.3
Alkene,Alkane,2,2,273.15,0.4876,110.3
Alkene,Alkane,2,2,273.15,0.5376,110.1
Alkene,Alkane,2,2,273.15,0.5709,108.9
Alkene,Alkane,2,2,273.15,0.6041,103.9
Alkene,Alkane,2,2,273.15,0.6539,96.7
Alkene,Alkane,2,2,273.15,0.687,91.6
Alkene,Alkane,2,2,273.15,0.7367,82.6
Alkene,Alkane,2,2,273.15,0.7697,75.9
Alkene,Alkane,2,2,273.15,0.8192,61.7
Alkene,Alkane,2,2,273.15,0.8522,51.2
Alkene,Alkane,2,2,273.15,0.8851,41.6
Alkene,Alkane,2,2,273.15,0.9344,22.5
Alkene,Alkane,2,2,273.15,0.9672,8.7
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.0166,5.6
Alkene,Alkane,2,2,273.15,0.0499,18.8
Alkene,Alkane,2,2,273.15,0.0999,37.6
Alkene,Alkane,2,2,273.15,0.1332,50.8
Alkene,Alkane,2,2,273.15,0.1664,61.5
Alkene,Alkane,2,2,273.15,0.2164,76.2
Alkene,Alkane,2,2,273.15,0.2498,85.2
Alkene,Alkane,2,2,273.15,0.2997,94.9
Alkene,Alkane,2,2,273.15,0.333,100.6
Alkene,Alkane,2,2,273.15,0.3663,104.5
Alkene,Alkane,2,2,273.15,0.4163,110.3
Alkene,Alkane,2,2,273.15,0.4496,112.7
Alkene,Alkane,2,2,273.15,0.4996,113.6
Alkene,Alkane,2,2,273.15,0.5329,113.1
Alkene,Alkane,2,2,273.15,0.5663,111.2
Alkene,Alkane,2,2,273.15,0.6163,104.7
Alkene,Alkane,2,2,273.15,0.6496,101
Alkene,Alkane,2,2,273.15,0.6997,93.4
Alkene,Alkane,2,2,273.15,0.733,87
Alkene,Alkane,2,2,273.15,0.7664,82.3
Alkene,Alkane,2,2,273.15,0.8065,69.4
Alkene,Alkane,2,2,273.15,0.8498,59.1
Alkene,Alkane,2,2,273.15,0.8999,41
Alkene,Alkane,2,2,273.15,0.9332,29.1
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,6,7,298.15,0,0
Alkene,Alkane,6,7,298.15,0.05,11.13
Alkene,Alkane,6,7,298.15,0.1,21.21
Alkene,Alkane,6,7,298.15,0.1499,30.3
Alkene,Alkane,6,7,298.15,0.1998,37.57
Alkene,Alkane,6,7,298.15,0.2496,44.68
Alkene,Alkane,6,7,298.15,0.2998,50.46
Alkene,Alkane,6,7,298.15,0.35,54.95
Alkene,Alkane,6,7,298.15,0.3984,58.88
Alkene,Alkane,6,7,298.15,0.4492,61.03
Alkene,Alkane,6,7,298.15,0.5005,61.42
Alkene,Alkane,6,7,298.15,0.5498,61.38
Alkene,Alkane,6,7,298.15,0.6,59.65
Alkene,Alkane,6,7,298.15,0.6496,56.64
Alkene,Alkane,6,7,298.15,0.6992,52.81
Alkene,Alkane,6,7,298.15,0.7497,47.37
Alkene,Alkane,6,7,298.15,0.8,41.33
Alkene,Alkane,6,7,298.15,0.8499,33.05
Alkene,Alkane,6,7,298.15,0.9,23.38
Alkene,Alkane,6,7,298.15,0.95,11.71
Alkene,Alkane,6,7,298.15,1,0
Alkene,Alkane,6,8,298.15,0,0
Alkene,Alkane,6,8,298.15,0.05,11.36
Alkene,Alkane,6,8,298.15,0.1,22.25
Alkene,Alkane,6,8,298.15,0.15,32.65
Alkene,Alkane,6,8,298.15,0.2036,41.61
Alkene,Alkane,6,8,298.15,0.2496,48.28
Alkene,Alkane,6,8,298.15,0.3,54.95
Alkene,Alkane,6,8,298.15,0.3497,59.97
Alkene,Alkane,6,8,298.15,0.3998,63.87
Alkene,Alkane,6,8,298.15,0.45,66.13
Alkene,Alkane,6,8,298.15,0.5,67.7
Alkene,Alkane,6,8,298.15,0.5499,67.25
Alkene,Alkane,6,8,298.15,0.5994,65.86
Alkene,Alkane,6,8,298.15,0.65,62.9
Alkene,Alkane,6,8,298.15,0.7,58.72
Alkene,Alkane,6,8,298.15,0.75,52.79
Alkene,Alkane,6,8,298.15,0.8002,45.33
Alkene,Alkane,6,8,298.15,0.8499,36.91
Alkene,Alkane,6,8,298.15,0.9,26.29
Alkene,Alkane,6,8,298.15,0.95,13.89
Alkene,Alkane,6,8,298.15,1,0
Alkene,Alkane,6,10,298.15,0,0
Alkene,Alkane,6,10,298.15,0.05,16.1
Alkene,Alkane,6,10,298.15,0.1,30.36
Alkene,Alkane,6,10,298.15,0.1503,43.01
Alkene,Alkane,6,10,298.15,0.2001,54.05
Alkene,Alkane,6,10,298.15,0.2482,64.31
Alkene,Alkane,6,10,298.15,0.2997,72.95
Alkene,Alkane,6,10,298.15,0.3504,79.63
Alkene,Alkane,6,10,298.15,0.3999,85.18
Alkene,Alkane,6,10,298.15,0.4508,88.39
Alkene,Alkane,6,10,298.15,0.4994,90.75
Alkene,Alkane,6,10,298.15,0.5501,90.82
Alkene,Alkane,6,10,298.15,0.5996,89.04
Alkene,Alkane,6,10,298.15,0.6496,85.48
Alkene,Alkane,6,10,298.15,0.7004,79.66
Alkene,Alkane,6,10,298.15,0.7495,72.05
Alkene,Alkane,6,10,298.15,0.7998,62.21
Alkene,Alkane,6,10,298.15,0.8501,51.08
Alkene,Alkane,6,10,298.15,0.9,36.08
Alkene,Alkane,6,10,298.15,0.95,19.12
Alkene,Alkane,6,10,298.15,1,0
Alkene,Alkane,6,12,298.15,0,0
Alkene,Alkane,6,12,298.15,0.05,21.42
Alkene,Alkane,6,12,298.15,0.1,40.79
Alkene,Alkane,6,12,298.15,0.1503,56.75
Alkene,Alkane,6,12,298.15,0.2001,72.63
Alkene,Alkane,6,12,298.15,0.2482,87.06
Alkene,Alkane,6,12,298.15,0.2997,98.47
Alkene,Alkane,6,12,298.15,0.3504,108.33
Alkene,Alkane,6,12,298.15,0.3999,115.8
Alkene,Alkane,6,12,298.15,0.4508,120.25
Alkene,Alkane,6,12,298.15,0.4994,122.66
Alkene,Alkane,6,12,298.15,0.5501,123.2
Alkene,Alkane,6,12,298.15,0.5996,121.29
Alkene,Alkane,6,12,298.15,0.6496,116.32
Alkene,Alkane,6,12,298.15,0.7004,108.77
Alkene,Alkane,6,12,298.15,0.7495,98.08
Alkene,Alkane,6,12,298.15,0.7998,83.36
Alkene,Alkane,6,12,298.15,0.8501,67.77
Alkene,Alkane,6,12,298.15,0.9,48.84
Alkene,Alkane,6,12,298.15,0.95,26.2
Alkene,Alkane,6,12,298.15,1,0
Alkene,Alkane,2,2,298.15,0,0
Alkene,Alkane,2,2,298.15,0.0547,308.8
Alkene,Alkane,2,2,298.15,0.1054,550.2
Alkene,Alkane,2,2,298.15,0.1524,759.7
Alkene,Alkane,2,2,298.15,0.1962,976.3
Alkene,Alkane,2,2,298.15,0.2370,1167.2
Alkene,Alkane,2,2,298.15,0.2752,1356.5
Alkene,Alkane,2,2,298.15,0.3110,1459.5
Alkene,Alkane,2,2,298.15,0.3446,1608.1
Alkene,Alkane,2,2,298.15,0.3638,1725.6
Alkene,Alkane,2,2,298.15,0.3762,1781.5
Alkene,Alkane,2,2,298.15,0.4060,1854.9
Alkene,Alkane,2,2,298.15,0.4230,1897.0
Alkene,Alkane,2,2,298.15,0.4286,1915.5
Alkene,Alkane,2,2,298.15,0.4341,2028.4
Alkene,Alkane,2,2,298.15,0.4449,2011.2
Alkene,Alkane,2,2,298.15,0.4607,2083.9
Alkene,Alkane,2,2,298.15,0.4709,2048.3
Alkene,Alkane,2,2,298.15,0.4859,2148.6
Alkene,Alkane,2,2,298.15,0.5051,2182.6
Alkene,Alkane,2,2,298.15,0.519,2217.3
Alkene,Alkane,2,2,298.15,0.5325,2258.5
Alkene,Alkane,2,2,298.15,0.5541,2304
Alkene,Alkane,2,2,298.15,0.5746,2355.4
Alkene,Alkane,2,2,298.15,0.5942,2344
Alkene,Alkane,2,2,298.15,0.6129,2287.7
Alkene,Alkane,2,2,298.15,0.6308,2264.9
Alkene,Alkane,2,2,298.15,0.6479,2210
Alkene,Alkane,2,2,298.15,0.6545,2142.1
Alkene,Alkane,2,2,298.15,0.6642,2056.1
Alkene,Alkane,2,2,298.15,0.6799,1869.3
Alkene,Alkane,2,2,298.15,0.689,1441.6
Alkene,Alkane,2,2,298.15,0.6949,962.5
Alkene,Alkane,2,2,298.15,0.7008,501
Alkene,Alkane,2,2,298.15,0.7094,70.1
Alkene,Alkane,2,2,298.15,0.7177,-123.8
Alkene,Alkane,2,2,298.15,0.7232,-170.9
Alkene,Alkane,2,2,298.15,0.7313,-258.9
Alkene,Alkane,2,2,298.15,0.7365,-320.9
Alkene,Alkane,2,2,298.15,0.7494,-333.9
Alkene,Alkane,2,2,298.15,0.7617,-384.3
Alkene,Alkane,2,2,298.15,0.7736,-406.7
Alkene,Alkane,2,2,298.15,0.7961,-436.2
Alkene,Alkane,2,2,298.15,0.8068,-386.6
Alkene,Alkane,2,2,298.15,0.8171,-332.3
Alkene,Alkane,2,2,298.15,0.8367,-279
Alkene,Alkane,2,2,298.15,0.8367,-344.1
Alkene,Alkane,2,2,298.15,0.8461,-305.6
Alkene,Alkane,2,2,298.15,0.8551,-242.5
Alkene,Alkane,2,2,298.15,0.8724,-187.1
Alkene,Alkane,2,2,298.15,0.8963,-178.6
Alkene,Alkane,2,2,298.15,0.9182,-151.4
Alkene,Alkane,2,2,298.15,0.9384,-124.5
Alkene,Alkane,2,2,298.15,0.9447,-114.1
Alkene,Alkane,2,2,298.15,0.9628,-91
Alkene,Alkane,2,2,298.15,0.9795,-67.2
Alkene,Alkane,2,2,298.15,0.9848,-52.8
Alkene,Alkane,2,2,298.15,1,0
Alkene,Alkane,2,2,323.15,0,0
Alkene,Alkane,2,2,323.15,0.0547,21.8
Alkene,Alkane,2,2,323.15,0.0547,20.9
Alkene,Alkane,2,2,323.15,0.0547,22.3
Alkene,Alkane,2,2,323.15,0.0856,36.8
Alkene,Alkane,2,2,323.15,0.1054,40.4
Alkene,Alkane,2,2,323.15,0.1433,58.8
Alkene,Alkane,2,2,323.15,0.1703,69.8
Alkene,Alkane,2,2,323.15,0.1962,72.3
Alkene,Alkane,2,2,323.15,0.2129,83.9
Alkene,Alkane,2,2,323.15,0.2526,91
Alkene,Alkane,2,2,323.15,0.2898,104.2
Alkene,Alkane,2,2,323.15,0.3314,119.3
Alkene,Alkane,2,2,323.15,0.3762,127.2
Alkene,Alkane,2,2,323.15,0.406,126.3
Alkene,Alkane,2,2,323.15,0.4341,134.1
Alkene,Alkane,2,2,323.15,0.4502,134.8
Alkene,Alkane,2,2,323.15,0.4607,134
Alkene,Alkane,2,2,323.15,0.476,134.7
Alkene,Alkane,2,2,323.15,0.4776,140.8
Alkene,Alkane,2,2,323.15,0.4956,136.1
Alkene,Alkane,2,2,323.15,0.519,141.1
Alkene,Alkane,2,2,323.15,0.5541,145.9
Alkene,Alkane,2,2,323.15,0.5746,144
Alkene,Alkane,2,2,323.15,0.5942,142.7
Alkene,Alkane,2,2,323.15,0.6129,137.7
Alkene,Alkane,2,2,323.15,0.6308,135.9
Alkene,Alkane,2,2,323.15,0.6377,139.4
Alkene,Alkane,2,2,323.15,0.6479,132.5
Alkene,Alkane,2,2,323.15,0.6642,128.8
Alkene,Alkane,2,2,323.15,0.6799,134.2
Alkene,Alkane,2,2,323.15,0.6949,123.4
Alkene,Alkane,2,2,323.15,0.7232,124.1
Alkene,Alkane,2,2,323.15,0.7365,119.3
Alkene,Alkane,2,2,323.15,0.7494,121.4
Alkene,Alkane,2,2,323.15,0.7617,95.3
Alkene,Alkane,2,2,323.15,0.7736,93.8
Alkene,Alkane,2,2,323.15,0.8171,83.9
Alkene,Alkane,2,2,323.15,0.8171,85.3
Alkene,Alkane,2,2,323.15,0.8367,64.9
Alkene,Alkane,2,2,323.15,0.8551,58.3
Alkene,Alkane,2,2,323.15,0.8724,54.8
Alkene,Alkane,2,2,323.15,0.8724,55.4
Alkene,Alkane,2,2,323.15,0.8963,51.6
Alkene,Alkane,2,2,323.15,0.8963,53.3
Alkene,Alkane,2,2,323.15,0.9182,45.8
Alkene,Alkane,2,2,323.15,0.9384,33.6
Alkene,Alkane,2,2,323.15,0.9569,22.6
Alkene,Alkane,2,2,323.15,0.9628,20
Alkene,Alkane,2,2,323.15,0.9795,10.5
Alkene,Alkane,2,2,323.15,1,0
Alkene,Alkane,2,2,348.15,0.0000,0.0
Alkene,Alkane,2,2,348.15,0.0547,11.1
Alkene,Alkane,2,2,348.15,0.1054,18.3
Alkene,Alkane,2,2,348.15,0.1524,27
Alkene,Alkane,2,2,348.15,0.1962,33.7
Alkene,Alkane,2,2,348.15,0.237,39.3
Alkene,Alkane,2,2,348.15,0.2752,43
Alkene,Alkane,2,2,348.15,0.311,47.2
Alkene,Alkane,2,2,348.15,0.3446,51
Alkene,Alkane,2,2,348.15,0.3762,53.3
Alkene,Alkane,2,2,348.15,0.406,55.3
Alkene,Alkane,2,2,348.15,0.4341,57.5
Alkene,Alkane,2,2,348.15,0.4607,58.6
Alkene,Alkane,2,2,348.15,0.4859,59.9
Alkene,Alkane,2,2,348.15,0.5098,59.3
Alkene,Alkane,2,2,348.15,0.5325,58.5
Alkene,Alkane,2,2,348.15,0.5541,58.1
Alkene,Alkane,2,2,348.15,0.5746,58.5
Alkene,Alkane,2,2,348.15,0.5942,58
Alkene,Alkane,2,2,348.15,0.6129,56.5
Alkene,Alkane,2,2,348.15,0.6308,55.8
Alkene,Alkane,2,2,348.15,0.6479,55.6
Alkene,Alkane,2,2,348.15,0.6706,53.6
Alkene,Alkane,2,2,348.15,0.6949,50.8
Alkene,Alkane,2,2,348.15,0.7094,47.1
Alkene,Alkane,2,2,348.15,0.7232,45
Alkene,Alkane,2,2,348.15,0.7365,43.5
Alkene,Alkane,2,2,348.15,0.7494,39.7
Alkene,Alkane,2,2,348.15,0.7736,36.2
Alkene,Alkane,2,2,348.15,0.8171,27.4
Alkene,Alkane,2,2,348.15,0.8551,22.9
Alkene,Alkane,2,2,348.15,0.8963,18.8
Alkene,Alkane,2,2,348.15,0.9384,10.9
Alkene,Alkane,2,2,348.15,0.9628,6.7
Alkene,Alkane,2,2,348.15,0.9795,4.3
Alkene,Alkane,2,2,348.15,1,0
Alkene,Alkane,2,2,363.15,0.0000,0.0
Alkene,Alkane,2,2,363.15,0.0547,6.2
Alkene,Alkane,2,2,363.15,0.1054,12.7
Alkene,Alkane,2,2,363.15,0.1524,17.5
Alkene,Alkane,2,2,363.15,0.1791,21
Alkene,Alkane,2,2,363.15,0.1962,24.1
Alkene,Alkane,2,2,363.15,0.237,25.6
Alkene,Alkane,2,2,363.15,0.2752,31
Alkene,Alkane,2,2,363.15,0.311,33.8
Alkene,Alkane,2,2,363.15,0.3446,35.7
Alkene,Alkane,2,2,363.15,0.3762,39
Alkene,Alkane,2,2,363.15,0.406,40.2
Alkene,Alkane,2,2,363.15,0.4341,41.8
Alkene,Alkane,2,2,363.15,0.4607,41.5
Alkene,Alkane,2,2,363.15,0.4859,41.5
Alkene,Alkane,2,2,363.15,0.5098,42.6
Alkene,Alkane,2,2,363.15,0.5325,42.2
Alkene,Alkane,2,2,363.15,0.5541,43.7
Alkene,Alkane,2,2,363.15,0.5746,42.3
Alkene,Alkane,2,2,363.15,0.6129,42.4
Alkene,Alkane,2,2,363.15,0.6308,40.9
Alkene,Alkane,2,2,363.15,0.6479,40.0
Alkene,Alkane,2,2,363.15,0.6799,38.9
Alkene,Alkane,2,2,363.15,0.6949,36.9
Alkene,Alkane,2,2,363.15,0.7232,35.2
Alkene,Alkane,2,2,363.15,0.7365,34.6
Alkene,Alkane,2,2,363.15,0.7617,32.7
Alkene,Alkane,2,2,363.15,0.7736,21.9
Alkene,Alkane,2,2,363.15,0.8171,19.0
Alkene,Alkane,2,2,363.15,0.8551,18.4
Alkene,Alkane,2,2,363.15,0.8963,13.3
Alkene,Alkane,2,2,363.15,0.9384,7.7
Alkene,Alkane,2,2,363.15,1.0000,0.0
Alkene,Cycloalkane,8,6,298.15,0,0.00
Alkene,Cycloalkane,8,6,298.15,0.2201,145.60
Alkene,Cycloalkane,8,6,298.15,0.3614,211.10
Alkene,Cycloalkane,8,6,298.15,0.4589,240.30
Alkene,Cycloalkane,8,6,298.15,0.5307,252.50
Alkene,Cycloalkane,8,6,298.15,0.6503,248.80
Alkene,Cycloalkane,8,6,298.15,0.7124,235.60
Alkene,Cycloalkane,8,6,298.15,0.7879,200.49
Alkene,Cycloalkane,8,6,298.15,0.8811,140.60
Alkene,Cycloalkane,8,6,298.15,1,0.00
Alkene,Cycloalkane,8,6,323.15,0,0.00
Alkene,Cycloalkane,8,6,323.15,0.2574,140.90
Alkene,Cycloalkane,8,6,323.15,0.4093,193.90
Alkene,Cycloalkane,8,6,323.15,0.5106,213.70
Alkene,Cycloalkane,8,6,323.15,0.5818,218.00
Alkene,Cycloalkane,8,6,323.15,1,0.00
Alkane,Alkene,1,2,115.77,0.0000,0.0
Alkane,Alkene,1,2,115.77,0.2368,163.8
Alkane,Alkene,1,2,115.77,0.3364,219.9
Alkane,Alkene,1,2,115.77,0.4309,249.4
Alkane,Alkene,1,2,115.77,0.5076,249.3
Alkane,Alkene,1,2,115.77,0.5345,244.9
Alkane,Alkene,1,2,115.77,0.6483,250.7
Alkane,Alkene,1,2,115.77,0.8039,184.3
Alkane,Alkene,1,2,115.77,1.0000,0
Alkane,Alkene,1,2,140.12,0.0000,0
Alkane,Alkene,1,2,140.12,0.2779,180.9
Alkane,Alkene,1,2,140.12,0.3649,209.1
Alkane,Alkene,1,2,140.12,0.4753,209.2
Alkane,Alkene,1,2,140.12,0.6201,205.8
Alkane,Alkene,1,2,140.12,0.8248,119.2
Alkane,Alkene,1,2,140.12,1.0000,0
Alkane,Alkene,1,2,150,0.0000,0
Alkane,Alkene,1,2,150,0.2884,158.8
Alkane,Alkene,1,2,150,0.4789,169.4
Alkane,Alkene,1,2,150,0.5600,171.9
Alkane,Alkene,1,2,150,0.7453,112.2
Alkane,Alkene,1,2,150,0.9136,51.2
Alkane,Alkene,1,2,150,0.9313,33.3
Alkane,Alkene,1,2,150,1.0000,0
Alkane,Alkene,6,7,298.15,0.0000,0.00
Alkane,Alkene,6,7,298.15,0.1982,31.20
Alkane,Alkene,6,7,298.15,0.3084,40.20
Alkane,Alkene,6,7,298.15,0.3974,44.90
Alkane,Alkene,6,7,298.15,0.5047,47.10
Alkane,Alkene,6,7,298.15,0.5770,46.80
Alkane,Alkene,6,7,298.15,0.6391,44.70
Alkane,Alkene,6,7,298.15,0.6777,42.40
Alkane,Alkene,6,7,298.15,0.8115,30.10
Alkane,Alkene,6,7,298.15,1.0000,0.00
Alkane,Alkene,7,8,298.15,0,0.00
Alkane,Alkene,7,8,298.15,0.1727,22.10
Alkane,Alkene,7,8,298.15,0.2938,32.60
Alkane,Alkene,7,8,298.15,0.3846,37.80
Alkane,Alkene,7,8,298.15,0.4545,39.70
Alkane,Alkene,7,8,298.15,0.5804,39.80
Alkane,Alkene,7,8,298.15,0.6478,38.30
Alkane,Alkene,7,8,298.15,0.7338,32.90
Alkane,Alkene,7,8,298.15,0.8463,22.20
Alkane,Alkene,7,8,298.15,1,0.00
Alkane,Alkene,7,8,323.15,0,0.00
Alkane,Alkene,7,8,323.15,0.2019,25.00
Alkane,Alkene,7,8,323.15,0.3357,34.80
Alkane,Alkene,7,8,323.15,0.4321,38.60
Alkane,Alkene,7,8,323.15,0.5038,39.6
Alkane,Alkene,7,8,323.15,1,0
Alkane,Alkane,1,2,91.5,0,0
Alkane,Alkane,1,2,91.5,0.2825,67
Alkane,Alkane,1,2,91.5,0.4008,80
Alkane,Alkane,1,2,91.5,0.5105,82.7
Alkane,Alkane,1,2,91.5,0.6039,84.9
Alkane,Alkane,1,2,91.5,0.7044,77.6
Alkane,Alkane,1,2,91.5,0.7879,65.8
Alkane,Alkane,1,2,91.5,1,0
Alkane,Alkane,1,3,91.5,0,0
Alkane,Alkane,1,3,91.5,0.3053,118.3
Alkane,Alkane,1,3,91.5,0.3798,137.5
Alkane,Alkane,1,3,91.5,0.5013,154.8
Alkane,Alkane,1,3,91.5,0.5871,155.3
Alkane,Alkane,1,3,91.5,0.6889,143.7
Alkane,Alkane,1,3,91.5,1,0
Alkane,Alkane,1,2,112,0,0
Alkane,Alkane,1,2,112,0.302,56.2
Alkane,Alkane,1,2,112,0.3912,64.1
Alkane,Alkane,1,2,112,0.5136,68.1
Alkane,Alkane,1,2,112,0.62,66.3
Alkane,Alkane,1,2,112,0.6841,61.1
Alkane,Alkane,1,2,112,1,0
Alkane,Alkane,1,3,112,0,0
Alkane,Alkane,1,3,112,0.3019,97.4
Alkane,Alkane,1,3,112,0.4017,119.7
Alkane,Alkane,1,3,112,0.5048,128.3
Alkane,Alkane,1,3,112,0.616,128.4
Alkane,Alkane,1,3,112,0.7022,120.6
Alkane,Alkane,1,3,112,0.8274,85.7
Alkane,Alkane,1,3,112,1,0
Alkane,Alkane,2,3,112,0.5,5.1
Alkane,Alkane,2,3,112,1,0
Alkane,Alkane,2,3,127.6,0.5,6.4
Alkane,Alkane,2,3,144.3,0.5,7
Alkane,Alkane,2,3,172,0.5,6.1
Alkane,Alkane,2,3,199.8,0.5,2.8
Alkane,Alkane,2,3,227.6,0.5,-2.8
Alkane,Alkane,2,3,240,0.5,-6.1
Alkane,Alkane,1,2,241.1,0.196,3.56
Alkane,Alkane,1,2,242.1,0.224,4.45
Alkane,Alkane,1,2,242.1,0.278,4.05
Alkane,Alkane,1,2,242.1,0.305,4.95
Alkane,Alkane,1,2,242.1,0.493,6.33
Alkane,Alkane,1,2,242.1,0.521,5.44
Alkane,Alkane,1,2,242.1,0.613,6.04
Alkane,Alkane,1,2,242.1,0.690,5.25
Alkane,Alkane,1,2,242.1,0.5,5.92
Alkane,Alkane,1,2,242.1,0,0
Alkane,Alkane,1,3,243.2,0,0
Alkane,Alkane,1,3,243.2,0.268,20.0
Alkane,Alkane,1,3,243.2,0.391,25.4
Alkane,Alkane,1,3,243.2,0.464,27.5
Alkane,Alkane,1,3,243.2,0.5,26.5
Alkane,Alkane,1,3,243.2,0.527,27.5
Alkane,Alkane,1,3,243.2,0.599,25.3
Alkane,Alkane,1,3,243.2,0.678,22.4
Alkane,Alkane,1,3,243.2,1,0
Alkane,Alkane,1,2,250.6,0,0
Alkane,Alkane,1,2,250.6,0.21,3.17
Alkane,Alkane,1,2,250.6,0.278,4.26
Alkane,Alkane,1,2,250.6,0.311,4.95
Alkane,Alkane,1,2,250.6,0.349,5.35
Alkane,Alkane,1,2,250.6,0.42,4.75
Alkane,Alkane,1,2,250.6,0.477,5.64
Alkane,Alkane,1,2,250.6,0.5,5.41
Alkane,Alkane,1,2,250.6,0.518,5.26
Alkane,Alkane,1,2,250.6,0.585,5.74
Alkane,Alkane,1,2,250.6,0.642,5.34
Alkane,Alkane,1,2,250.6,0.733,3.86
Alkane,Alkane,1,2,250.6,1,0
